"lab_accession","sta_seq","chemparameter","collect_date","Milli_Q","MDL","FLAG: milli-Q NULL BEFORE conversion","lab_precision_rate","Percent_Diff","FLAG: Percent_Diff > RPD"
"140225-001",14302,"Nitrite",2014-07-31,0.003,0.003,TRUE,"15 %","0 %",FALSE
"140236-001",14302,"Nitrite",2014-08-05,0.003,0.003,TRUE,"15 %","0 %",FALSE
"140263-001",14302,"Nitrite",2014-08-27,0.003,0.003,TRUE,"15 %","0 %",FALSE
"140276-001",14302,"Nitrite",2014-09-09,0.003,0.003,TRUE,"15 %","0 %",FALSE
"150172-001",14302,"Nitrite",2015-06-01,0.003,0.003,TRUE,"15 %","0 %",FALSE
"150156-002",14302,"Nitrite",2015-06-03,0.003,0.003,TRUE,"15 %","0 %",FALSE
"150157-001",14302,"Nitrite",2015-06-04,0.003,0.003,TRUE,"15 %","0 %",FALSE
"150172-016",14302,"Nitrite",2015-06-10,0.003,0.003,TRUE,"15 %","0 %",FALSE
"150204-001",14302,"Nitrite",2015-06-16,0.003,0.003,TRUE,"15 %","0 %",FALSE
"150201-001",14302,"Nitrite",2015-06-17,0.003,0.003,TRUE,"15 %","0 %",FALSE
"150204-013",14302,"Nitrite",2015-06-24,0.003,0.003,TRUE,"15 %","0 %",FALSE
"150201-010",14302,"Nitrite",2015-06-25,0.003,0.003,TRUE,"15 %","0 %",FALSE
"150216-001",14302,"Nitrite",2015-07-01,0.003,0.003,TRUE,"15 %","0 %",FALSE
"150217-001",14302,"Nitrite",2015-07-01,0.003,0.003,TRUE,"15 %","0 %",FALSE
"150228-001",14302,"Nitrite",2015-07-08,0.003,0.003,TRUE,"15 %","0 %",FALSE
"150230-001",14302,"Nitrite",2015-07-13,0.003,0.003,TRUE,"15 %","0 %",FALSE
"150257-001",14302,"Nitrite",2015-07-16,0.003,0.003,TRUE,"15 %","0 %",FALSE
"150257-006",14302,"Nitrite",2015-07-22,0.004,0.003,FALSE,"15 %","28.5714285714286 %",TRUE
"150256-004",14302,"Nitrite",2015-07-27,0.003,0.003,TRUE,"15 %","0 %",FALSE
"150305-001",14302,"Nitrite",2015-08-06,0.003,0.003,TRUE,"15 %","0 %",FALSE
"150330-001",14302,"Nitrite",2015-08-13,0.003,0.003,TRUE,"15 %","0 %",FALSE
"150330-006",14302,"Nitrite",2015-08-19,0.003,0.003,TRUE,"15 %","0 %",FALSE
"150372-001",14302,"Nitrite",2015-09-08,0.003,0.003,TRUE,"15 %","0 %",FALSE
"150384-005",14302,"Nitrite",2015-09-21,0.003,0.003,TRUE,"15 %","0 %",FALSE
"150413-019",14302,"Nitrite",2015-10-02,0.003,0.003,TRUE,"15 %","0 %",FALSE
"150412-003",14302,"Nitrite",2015-10-07,0.003,0.003,TRUE,"15 %","0 %",FALSE
"110151-008",14302,"Total Nitrogen",2011-06-27,0.008,0.008,FALSE,"15 %","0 %",FALSE
"110167-001",14302,"Total Nitrogen",2011-07-11,0.008,0.008,TRUE,"15 %","0 %",FALSE
"110169-008",14302,"Total Nitrogen",2011-07-13,0.008,0.008,TRUE,"15 %","0 %",FALSE
"110170-007",14302,"Total Nitrogen",2011-07-20,0.008,0.008,TRUE,"15 %","0 %",FALSE
"110184-001",14302,"Total Nitrogen",2011-07-27,0.008,0.008,TRUE,"15 %","0 %",FALSE
"110198-008",14302,"Total Nitrogen",2011-08-17,0.008,0.008,TRUE,"15 %","0 %",FALSE
"110274-013",14302,"Total Nitrogen",2011-11-08,0.006,0.008,FALSE,"15 %","28.5714285714286 %",TRUE
"110275-010",14302,"Total Nitrogen",2011-11-09,0.014,0.008,FALSE,"15 %","54.5454545454546 %",TRUE
"110288-007",14302,"Total Nitrogen",2011-11-15,0.005,0.008,FALSE,"15 %","46.1538461538462 %",TRUE
"110288-019",14302,"Total Nitrogen",2011-11-21,0.016,0.008,FALSE,"15 %","66.6666666666667 %",TRUE
"120135-001",14302,"Total Nitrogen",2012-06-05,0.008,0.008,TRUE,"15 %","0 %",FALSE
"120152-001",14302,"Total Nitrogen",2012-06-13,0.008,0.008,TRUE,"15 %","0 %",FALSE
"120143-014",14302,"Total Nitrogen",2012-06-20,0.008,0.008,TRUE,"15 %","0 %",FALSE
"120144-015",14302,"Total Nitrogen",2012-06-20,0.008,0.008,TRUE,"15 %","0 %",FALSE
"120151-001",14302,"Total Nitrogen",2012-06-22,0.033,0.008,FALSE,"15 %","121.951219512195 %",TRUE
"120161-001",14302,"Total Nitrogen",2012-07-02,0.113,0.008,FALSE,"15 %","173.553719008264 %",TRUE
"120195-001",14302,"Total Nitrogen",2012-07-13,0.021,0.008,FALSE,"15 %","89.6551724137931 %",TRUE
"120243-008",14302,"Total Nitrogen",2012-09-19,0.008,0.008,TRUE,"15 %","0 %",FALSE
"120251-004",14302,"Total Nitrogen",2012-09-20,0.008,0.008,TRUE,"15 %","0 %",FALSE
"120249-005",14302,"Total Nitrogen",2012-09-21,0.008,0.008,TRUE,"15 %","0 %",FALSE
"120252-007",14302,"Total Nitrogen",2012-09-26,0.008,0.008,TRUE,"15 %","0 %",FALSE
"120264-001",14302,"Total Nitrogen",2012-10-01,0.013,0.008,FALSE,"15 %","47.6190476190476 %",TRUE
"120275-005",14302,"Total Nitrogen",2012-10-11,0.008,0.008,TRUE,"15 %","0 %",FALSE
"120289-001",14302,"Total Nitrogen",2012-10-24,0.045,0.008,FALSE,"15 %","139.622641509434 %",TRUE
"130141-007",14302,"Total Nitrogen",2013-04-24,0.008,0.008,TRUE,"15 %","0 %",FALSE
"130204-001",14302,"Total Nitrogen",2013-06-04,0.008,0.008,TRUE,"15 %","0 %",FALSE
"130233-001",14302,"Total Nitrogen",2013-06-10,0.008,0.008,TRUE,"15 %","0 %",FALSE
"130254-001",14302,"Total Nitrogen",2013-07-03,0.008,0.008,TRUE,"15 %","0 %",FALSE
"130303-011",14302,"Total Nitrogen",2013-07-30,0.008,0.008,TRUE,"15 %","0 %",FALSE
"130305-001",14302,"Total Nitrogen",2013-07-30,0.008,0.008,TRUE,"15 %","0 %",FALSE
"130303-017",14302,"Total Nitrogen",2013-08-06,0.008,0.008,TRUE,"15 %","0 %",FALSE
"130323-005",14302,"Total Nitrogen",2013-08-13,0.008,0.008,TRUE,"15 %","0 %",FALSE
"130331-004",14302,"Total Nitrogen",2013-08-20,0.008,0.008,TRUE,"15 %","0 %",FALSE
"130406-019",14302,"Total Nitrogen",2013-08-27,0.016,0.008,FALSE,"15 %","66.6666666666667 %",TRUE
"130376-008",14302,"Total Nitrogen",2013-09-11,0.008,0.008,TRUE,"15 %","0 %",FALSE
"130395-012",14302,"Total Nitrogen",2013-09-26,0.03,0.008,FALSE,"15 %","115.789473684211 %",TRUE
"140144-001",14302,"Total Nitrogen",2014-06-11,0.008,0.008,TRUE,"15 %","0 %",FALSE
"140177-001",14302,"Total Nitrogen",2014-07-02,0.101,0.008,FALSE,"15 %","170.642201834862 %",TRUE
"140185-003",14302,"Total Nitrogen",2014-07-08,0.008,0.008,TRUE,"15 %","0 %",FALSE
"140204-005",14302,"Total Nitrogen",2014-07-17,0.014,0.008,FALSE,"15 %","54.5454545454546 %",TRUE
"140217-001",14302,"Total Nitrogen",2014-07-24,0.008,0.008,TRUE,"15 %","0 %",FALSE
"140218-001",14302,"Total Nitrogen",2014-07-29,0.008,0.008,TRUE,"15 %","0 %",FALSE
"140225-001",14302,"Total Nitrogen",2014-07-31,0.017,0.008,FALSE,"15 %","72 %",TRUE
"140236-001",14302,"Total Nitrogen",2014-08-05,0.01,0.008,FALSE,"15 %","22.2222222222222 %",TRUE
"140263-001",14302,"Total Nitrogen",2014-08-27,0.025,0.008,FALSE,"15 %","103.030303030303 %",TRUE
"140276-001",14302,"Total Nitrogen",2014-09-09,0.021,0.008,FALSE,"15 %","89.6551724137931 %",TRUE
"150172-001",14302,"Total Nitrogen",2015-06-01,0.008,0.008,TRUE,"15 %","0 %",FALSE
"150156-002",14302,"Total Nitrogen",2015-06-03,0.008,0.008,TRUE,"15 %","0 %",FALSE
"150157-001",14302,"Total Nitrogen",2015-06-04,0.008,0.008,TRUE,"15 %","0 %",FALSE
"150172-016",14302,"Total Nitrogen",2015-06-10,0.008,0.008,TRUE,"15 %","0 %",FALSE
"150204-001",14302,"Total Nitrogen",2015-06-16,0.045,0.008,FALSE,"15 %","139.622641509434 %",TRUE
"150201-001",14302,"Total Nitrogen",2015-06-17,0.008,0.008,TRUE,"15 %","0 %",FALSE
"150204-013",14302,"Total Nitrogen",2015-06-24,0.012,0.008,FALSE,"15 %","40 %",TRUE
"150201-010",14302,"Total Nitrogen",2015-06-25,0.008,0.008,TRUE,"15 %","0 %",FALSE
"150216-001",14302,"Total Nitrogen",2015-07-01,0.008,0.008,TRUE,"15 %","0 %",FALSE
"150217-001",14302,"Total Nitrogen",2015-07-01,0.008,0.008,TRUE,"15 %","0 %",FALSE
"150228-001",14302,"Total Nitrogen",2015-07-08,0.008,0.008,TRUE,"15 %","0 %",FALSE
"150230-001",14302,"Total Nitrogen",2015-07-13,0.015,0.008,FALSE,"15 %","60.8695652173913 %",TRUE
"150257-001",14302,"Total Nitrogen",2015-07-16,0.008,0.008,TRUE,"15 %","0 %",FALSE
"150257-006",14302,"Total Nitrogen",2015-07-22,0.012,0.008,FALSE,"15 %","40 %",TRUE
"150256-004",14302,"Total Nitrogen",2015-07-27,0.008,0.008,TRUE,"15 %","0 %",FALSE
"150305-001",14302,"Total Nitrogen",2015-08-06,0.008,0.008,TRUE,"15 %","0 %",FALSE
"150330-001",14302,"Total Nitrogen",2015-08-13,0.011,0.008,FALSE,"15 %","31.578947368421 %",TRUE
"150330-006",14302,"Total Nitrogen",2015-08-19,0.009,0.008,FALSE,"15 %","11.7647058823529 %",FALSE
"150372-001",14302,"Total Nitrogen",2015-09-08,0.027,0.008,FALSE,"15 %","108.571428571429 %",TRUE
"150384-005",14302,"Total Nitrogen",2015-09-21,0.929,0.008,FALSE,"15 %","196.5848452508 %",TRUE
"150413-019",14302,"Total Nitrogen",2015-10-02,0.008,0.008,TRUE,"15 %","0 %",FALSE
"150412-003",14302,"Total Nitrogen",2015-10-07,0.008,0.008,TRUE,"15 %","0 %",FALSE
"110151-008",14302,"Total Phosphorus",2011-06-27,0.003,0.001,FALSE,"15 %","100 %",TRUE
"110167-001",14302,"Total Phosphorus",2011-07-11,0.009,0.001,FALSE,"15 %","160 %",TRUE
"110169-008",14302,"Total Phosphorus",2011-07-13,0.006,0.001,FALSE,"15 %","142.857142857143 %",TRUE
"110170-007",14302,"Total Phosphorus",2011-07-20,0.006,0.001,FALSE,"15 %","142.857142857143 %",TRUE
"110184-001",14302,"Total Phosphorus",2011-07-27,0.005,0.001,FALSE,"15 %","133.333333333333 %",TRUE
"110198-008",14302,"Total Phosphorus",2011-08-17,0.005,0.001,FALSE,"15 %","133.333333333333 %",TRUE
"110274-013",14302,"Total Phosphorus",2011-11-08,0.005,0.001,FALSE,"15 %","133.333333333333 %",TRUE
"110275-010",14302,"Total Phosphorus",2011-11-09,0.004,0.001,FALSE,"15 %","120 %",TRUE
"110288-007",14302,"Total Phosphorus",2011-11-15,0.004,0.001,FALSE,"15 %","120 %",TRUE
"110288-019",14302,"Total Phosphorus",2011-11-21,0.011,0.001,FALSE,"15 %","166.666666666667 %",TRUE
"120135-001",14302,"Total Phosphorus",2012-06-05,0.001,0.001,TRUE,"15 %","0 %",FALSE
"120152-001",14302,"Total Phosphorus",2012-06-13,0.003,0.001,FALSE,"15 %","100 %",TRUE
"120143-014",14302,"Total Phosphorus",2012-06-20,0.012,0.001,FALSE,"15 %","169.230769230769 %",TRUE
"120144-015",14302,"Total Phosphorus",2012-06-20,0.007,0.001,FALSE,"15 %","150 %",TRUE
"120151-001",14302,"Total Phosphorus",2012-06-22,0.005,0.001,FALSE,"15 %","133.333333333333 %",TRUE
"120161-001",14302,"Total Phosphorus",2012-07-02,0.006,0.001,FALSE,"15 %","142.857142857143 %",TRUE
"120195-001",14302,"Total Phosphorus",2012-07-13,0.001,0.001,FALSE,"15 %","0 %",FALSE
"120243-008",14302,"Total Phosphorus",2012-09-19,0.001,0.001,TRUE,"15 %","0 %",FALSE
"120251-004",14302,"Total Phosphorus",2012-09-20,0.001,0.001,TRUE,"15 %","0 %",FALSE
"120249-005",14302,"Total Phosphorus",2012-09-21,0.001,0.001,TRUE,"15 %","0 %",FALSE
"120252-007",14302,"Total Phosphorus",2012-09-26,0.001,0.001,FALSE,"15 %","0 %",FALSE
"120264-001",14302,"Total Phosphorus",2012-10-01,0.004,0.001,FALSE,"15 %","120 %",TRUE
"120275-005",14302,"Total Phosphorus",2012-10-11,0.003,0.001,FALSE,"15 %","100 %",TRUE
"120289-001",14302,"Total Phosphorus",2012-10-24,0.007,0.001,FALSE,"15 %","150 %",TRUE
"130141-007",14302,"Total Phosphorus",2013-04-24,0.005,0.001,FALSE,"15 %","133.333333333333 %",TRUE
"130204-001",14302,"Total Phosphorus",2013-06-04,0.002,0.001,FALSE,"15 %","66.6666666666667 %",TRUE
"130233-001",14302,"Total Phosphorus",2013-06-10,0.003,0.001,FALSE,"15 %","100 %",TRUE
"130254-001",14302,"Total Phosphorus",2013-07-03,0.003,0.001,FALSE,"15 %","100 %",TRUE
"130303-011",14302,"Total Phosphorus",2013-07-30,0.003,0.001,FALSE,"15 %","100 %",TRUE
"130305-001",14302,"Total Phosphorus",2013-07-30,0.002,0.001,FALSE,"15 %","66.6666666666667 %",TRUE
"130303-017",14302,"Total Phosphorus",2013-08-06,0.004,0.001,FALSE,"15 %","120 %",TRUE
"130323-005",14302,"Total Phosphorus",2013-08-13,0.001,0.001,TRUE,"15 %","0 %",FALSE
"130331-004",14302,"Total Phosphorus",2013-08-20,0.005,0.001,FALSE,"15 %","133.333333333333 %",TRUE
"130406-019",14302,"Total Phosphorus",2013-08-27,0.005,0.001,FALSE,"15 %","133.333333333333 %",TRUE
"130376-008",14302,"Total Phosphorus",2013-09-11,0.002,0.001,FALSE,"15 %","66.6666666666667 %",TRUE
"130395-012",14302,"Total Phosphorus",2013-09-26,0.015,0.001,FALSE,"15 %","175 %",TRUE
"140144-001",14302,"Total Phosphorus",2014-06-11,0.001,0.001,TRUE,"15 %","0 %",FALSE
"140177-001",14302,"Total Phosphorus",2014-07-02,0.003,0.001,FALSE,"15 %","100 %",TRUE
"140185-003",14302,"Total Phosphorus",2014-07-08,0.002,0.001,FALSE,"15 %","66.6666666666667 %",TRUE
"140204-005",14302,"Total Phosphorus",2014-07-17,0.002,0.001,FALSE,"15 %","66.6666666666667 %",TRUE
"140217-001",14302,"Total Phosphorus",2014-07-24,0.009,0.001,FALSE,"15 %","160 %",TRUE
"140218-001",14302,"Total Phosphorus",2014-07-29,0.004,0.001,FALSE,"15 %","120 %",TRUE
"140225-001",14302,"Total Phosphorus",2014-07-31,0.001,0.001,FALSE,"15 %","0 %",FALSE
"140236-001",14302,"Total Phosphorus",2014-08-05,0.002,0.001,FALSE,"15 %","66.6666666666667 %",TRUE
"140263-001",14302,"Total Phosphorus",2014-08-27,0.003,0.001,FALSE,"15 %","100 %",TRUE
"140276-001",14302,"Total Phosphorus",2014-09-09,0.003,0.001,FALSE,"15 %","100 %",TRUE
"150172-001",14302,"Total Phosphorus",2015-06-01,0.006,0.001,FALSE,"15 %","142.857142857143 %",TRUE
"150156-002",14302,"Total Phosphorus",2015-06-03,0.006,0.001,FALSE,"15 %","142.857142857143 %",TRUE
"150157-001",14302,"Total Phosphorus",2015-06-04,0.007,0.001,FALSE,"15 %","150 %",TRUE
"150172-016",14302,"Total Phosphorus",2015-06-10,0.006,0.001,FALSE,"15 %","142.857142857143 %",TRUE
"150204-001",14302,"Total Phosphorus",2015-06-16,0.008,0.001,FALSE,"15 %","155.555555555556 %",TRUE
"150201-001",14302,"Total Phosphorus",2015-06-17,0.009,0.001,FALSE,"15 %","160 %",TRUE
"150204-013",14302,"Total Phosphorus",2015-06-24,0.004,0.001,FALSE,"15 %","120 %",TRUE
"150201-010",14302,"Total Phosphorus",2015-06-25,0.005,0.001,FALSE,"15 %","133.333333333333 %",TRUE
"150216-001",14302,"Total Phosphorus",2015-07-01,0.002,0.001,FALSE,"15 %","66.6666666666667 %",TRUE
"150217-001",14302,"Total Phosphorus",2015-07-01,0.003,0.001,FALSE,"15 %","100 %",TRUE
"150228-001",14302,"Total Phosphorus",2015-07-08,0.007,0.001,FALSE,"15 %","150 %",TRUE
"150230-001",14302,"Total Phosphorus",2015-07-13,0.007,0.001,FALSE,"15 %","150 %",TRUE
"150257-001",14302,"Total Phosphorus",2015-07-16,0.008,0.001,FALSE,"15 %","155.555555555556 %",TRUE
"150257-006",14302,"Total Phosphorus",2015-07-22,0.008,0.001,FALSE,"15 %","155.555555555556 %",TRUE
"150256-004",14302,"Total Phosphorus",2015-07-27,0.005,0.001,FALSE,"15 %","133.333333333333 %",TRUE
"150305-001",14302,"Total Phosphorus",2015-08-06,0.005,0.001,FALSE,"15 %","133.333333333333 %",TRUE
"150330-001",14302,"Total Phosphorus",2015-08-13,0.008,0.001,FALSE,"15 %","155.555555555556 %",TRUE
"150330-006",14302,"Total Phosphorus",2015-08-19,0.007,0.001,FALSE,"15 %","150 %",TRUE
"150372-001",14302,"Total Phosphorus",2015-09-08,0.018,0.001,FALSE,"15 %","178.947368421053 %",TRUE
"150384-005",14302,"Total Phosphorus",2015-09-21,0.006,0.001,FALSE,"15 %","142.857142857143 %",TRUE
"150413-019",14302,"Total Phosphorus",2015-10-02,0.015,0.001,FALSE,"15 %","175 %",TRUE
"150412-003",14302,"Total Phosphorus",2015-10-07,0.007,0.001,FALSE,"15 %","150 %",TRUE
